User,Tweets,Tweets_with_Emoji,Race
804963161245761536,0,0,asian
921086649483882496,977,133,white
2876664322,0,0,white
332274150,172,4,black
373499362,0,0,black
928847305,1111,563,white
968897880080740352,0,0,black
2491820936,114,20,white
95146712,473,66,asian
2329108714,2211,873,white
752465734836555776,2414,1089,white
931171748757889024,0,0,asian
761056164410896384,0,0,white
395103305,2550,447,hispanic
516818953,268,168,white
960279778048671744,0,0,asian
877007659362390016,29,17,white
960733096659140608,63,51,asian
2961162861,452,121,white
247217180,258,100,white
1674315427,141,72,white
42714426,2,0,white
2265575935,629,107,white
712859464043524096,231,71,hispanic
450192360,389,142,white
868923089165406208,210,55,white
878435508417953792,463,92,asian
461793455,885,263,white
431705485,59,25,black
719348110,2463,1511,black
4869675245,850,428,white
868104477793845249,245,63,asian
813507095622549504,0,0,white
840248121649221633,1286,489,white
925764598204002305,326,153,asian
1381930843,26,5,asian
2876945328,425,237,white
880430884922441729,1673,720,asian
837751911642238977,0,0,asian
3127754235,0,0,white
3362902275,0,0,white
221085399,399,80,white
895783602839015424,201,89,white
802619411559514113,349,6,asian
33655976,0,0,white
2765641639,0,0,white
739424178772815876,2228,210,white
814968874919608320,0,0,white
839927272295497730,848,116,white
169499588,1378,169,white
756760164,132,4,hispanic
1179538909,92,34,white
603785416,103,0,hispanic
69708775,919,135,white
299269920,0,0,black
431464412,320,6,asian
960354403805839360,6,1,asian
973836700098101249,0,0,asian
196812101,539,74,hispanic
759248506854973441,0,0,asian
894017417218637825,3216,10,asian
2734112186,0,0,hispanic
813329095899709441,24,2,white
149332159,0,0,white
2761668766,0,0,white
876949500862115841,161,61,white
980541888,0,0,white
730920123133874177,0,0,asian
849674867960139776,0,0,white
1347664970,1163,248,hispanic
462130489,648,35,black
3698997617,57,1,white
958105864585515008,132,66,white
259703074,144,0,white
2980760502,98,0,white
3002744908,837,716,white
737433819251367936,1340,528,black
916851635522957313,77,11,asian
967146608705105920,5,0,white
117664959,1674,19,asian
952805860018802688,0,0,asian
759808639288827908,1,1,white
101698121,2328,436,asian
3000228110,1051,469,white
352357472,284,89,hispanic
811576049259675648,14,7,white
735432613406474240,3200,2615,asian
610213280,517,212,white
950880986400722945,392,162,white
945061152232476674,0,0,asian
892049192373239808,0,0,asian
971082142229942273,332,153,white
960803050242887680,87,3,white
723032979186941952,1090,557,asian
723179515405426690,620,16,hispanic
453173374,311,32,white
756124186012225536,1167,149,white
2522388707,31,21,white
105810909,5,1,white
893841242802462720,3265,0,asian
714954631,17,6,black
2384009352,143,40,white
400159583,73,15,black
715213860467159040,0,0,asian
901878649795874817,30,0,white
951716828505518080,1785,0,asian
813794033055203328,736,31,white
2988503661,0,0,asian
488503249,0,0,asian
961867665089355776,0,0,white
404666265,0,0,asian
3959752505,0,0,white
2239650379,1053,21,white
951694825488728065,160,66,asian
267831949,425,62,white
1466876166,295,19,white
2177500365,37,16,white
2366071159,0,0,white
835139964560007168,3,2,white
560767195,0,0,asian
968741724716785664,3215,3,asian
844957886962905088,11,3,white
470267252,0,0,other
112523525,151,95,white
3345841677,985,77,asian
801082379041271808,47,41,white
580369876,0,0,white
2565942311,208,3,white
2936064760,0,0,asian
790773717815005185,21,0,hispanic
885255864,0,0,white
882519602479194112,45,5,asian
2318097395,585,180,hispanic
337936335,6,0,black
928430453715099650,22,3,black
823870937518903296,33,1,asian
973936414965551105,1,1,black
866078300137025536,347,17,white
2997735491,457,48,hispanic
344138786,0,0,white
207893356,732,165,asian
3041212933,0,0,white
1423449038,98,18,white
18843490,767,131,white
828109523508457473,0,0,asian
67642530,480,378,black
955526936708579328,5,0,white
816613676887265280,159,25,white
892890640123613184,0,0,asian
747593734003560448,437,70,white
2518909897,0,0,white
4905584345,20,1,white
242480017,775,42,white
1662699642,266,57,asian
926851731912245248,2,1,asian
956044474546835457,130,10,asian
4506157512,6,2,asian
26755515,712,163,white
804164401553022976,0,0,hispanic
807590893100339200,0,0,white
1921451420,435,399,white
280926071,0,0,asian
2651213971,0,0,white
972313958840496128,0,0,white
1123617980,378,258,black
813760675939897345,1627,191,asian
1588347546,1331,131,asian
709157447689179136,2631,75,white
823029356872110081,0,0,asian
903542191485804545,68,17,white
923695230116704262,0,0,asian
2959232501,244,13,hispanic
137584009,1696,882,asian
348714919,1330,909,black
85945910,316,5,white
366197755,276,74,white
770413897283145728,3030,39,white
932729989841203200,16,2,white
244476614,0,0,asian
3309030822,470,211,white
837720170474913792,934,279,white
180876823,708,15,white
205463209,0,0,white
773708925631946753,1019,25,white
3078448471,189,53,black
2571480416,0,0,white
547856858,521,0,white
1408504351,627,81,black
973578802084417538,0,0,white
396715972,2157,2,black
903499099160297473,587,154,asian
1297446247,760,58,white
2377819770,1137,364,asian
2855285293,1365,84,asian
710306824608567296,0,0,asian
348360099,1036,58,asian
378294305,841,537,white
48098368,2926,638,black
220547748,311,136,asian
883988602866343936,0,0,white
941078985496293376,2,0,white
345349367,844,633,asian
360956303,908,1,white
574535988,0,0,asian
805051894402088960,2453,0,white
833049546670346241,1900,312,white
490733537,13,3,white
3026683163,123,0,white
3271562150,0,0,white
895935557238366208,3242,10,asian
4370979517,2197,640,asian
3469453649,0,0,hispanic
3344184579,1135,61,hispanic
387371885,664,9,white
944312589118590976,2309,23,black
3000179971,0,0,white
2172362082,122,37,asian
1627962474,21,14,hispanic
3152165447,796,234,hispanic
934940186756173824,1578,104,white
3368808322,2085,150,other
836237626302738432,612,47,hispanic
828115979758661632,0,0,white
3028322950,1585,697,asian
4207862716,259,52,white
2922076157,0,0,hispanic
235794674,0,0,hispanic
968825443385298944,1,1,white
21642560,3191,3,white
956667337519849472,0,0,hispanic
724664785980149760,0,0,asian
143227481,1539,11,white
956554041869422593,24,2,white
946812222201913345,98,58,white
950802527687233536,0,0,white
2907714057,66,42,white
172358723,671,57,asian
837815632053829632,314,41,white
615202776,0,0,white
856948258291290112,2173,818,black
2286698570,25,5,black
825574714227695616,0,0,asian
99162484,1630,92,white
446447323,341,87,hispanic
4133829443,1590,328,white
3851662042,541,0,white
936798622066212864,3252,0,asian
918859281058762753,0,0,white
966501474023780352,155,55,asian
863378237057110017,0,0,asian
841535595159543809,9,3,asian
519772860,645,140,white
941493948782141440,35,0,white
884257944929423360,0,0,asian
523795518,140,62,black
897099767603355649,0,0,asian
2575478108,333,36,white
732366867981991936,1803,435,asian
945458449177088000,46,11,white
917673397143793664,11,1,asian
114101172,0,0,asian
458717914,27,3,white
378705020,1984,8,hispanic
866388738267656193,0,0,asian
260883187,0,0,white
555701122,64,30,hispanic
969986290161631232,352,204,asian
3317980636,45,12,black
954684056,0,0,white
1127917514,666,131,white
3148877467,470,149,asian
46477493,672,15,white
3025534540,25,1,white
876963239124385792,1575,29,asian
2264195513,33,3,black
2979425783,397,233,black
1625047010,734,262,black
832903779032801280,50,5,asian
155059384,0,0,white
735149386695606272,8,1,white
3026703299,280,146,black
822534923005345792,0,0,white
1036289552,132,28,hispanic
889127864901279747,52,20,black
2486776481,102,10,hispanic
31035315,700,119,black
418646345,0,0,asian
569275532,1093,145,black
743981599323099136,305,204,asian
3064442376,0,0,asian
889231138853670913,419,126,white
872258115005288448,111,33,white
538365432,0,0,hispanic
2440055535,619,95,white
121247765,630,255,hispanic
944755785908793344,14,0,white
67168164,1832,13,white
817404143111258112,362,101,asian
4474408754,0,0,asian
802370829359005696,0,0,asian
957136008427970561,2,1,hispanic
4143680969,653,29,hispanic
155546554,1650,66,asian
2302281243,1460,612,black
2572442636,0,0,white
917545967548641280,380,5,asian
3587939303,203,0,white
3083626423,1690,435,white
137568918,2515,0,white
4616163618,0,0,white
1604977993,122,76,white
285806268,126,24,white
826647947441901569,6,1,white
65954557,565,35,white
839079476,413,151,asian
888106665244934144,2660,1,white
796100739051507713,0,0,black
912907984606498816,0,0,asian
961675688498679808,653,3,white
111268236,1048,80,asian
3141273541,976,256,hispanic
181836654,0,0,white
847382713573056513,349,9,white
791324986959130626,1127,555,black
870686619786813442,0,0,asian
971193828504870912,0,0,asian
801277988717273088,118,77,asian
870167203,281,167,hispanic
83915318,1114,10,white
166855904,101,8,white
974007269368188928,15,1,white
196807117,190,36,white
728423831975563265,1296,227,white
885492268987285508,0,0,white
91112841,145,63,white
745479273360699392,0,0,asian
929825945841733632,664,262,other
202006405,511,111,asian
918069152337690624,244,100,asian
970691460252209153,0,0,white
781685069484167168,231,80,asian
741293443603824640,239,90,black
863998237363113984,251,154,white
1567231418,1,0,hispanic
195288276,1570,963,white
952853238939664384,116,30,asian
4260732651,92,46,white
872352030635032576,0,0,white
978913616,40,0,black
253290055,587,122,black
924512536040562689,0,0,white
965169320,0,0,black
2294100683,474,13,hispanic
40131311,1066,347,black
797403776,1908,776,black
2258071964,226,100,black
2710199730,0,0,white
877751548952039425,0,0,asian
830865429618970625,0,0,black
45579923,1774,275,black
940032320899186688,742,434,asian
3279126545,0,0,white
3112358766,1756,273,white
286059069,178,15,asian
1055012653,908,9,white
965391132153692160,0,0,asian
2881361504,105,63,white
502250832,88,23,white
1216832677,661,34,white
79556454,0,0,white
3712878557,879,109,white
954736480462647296,1,0,asian
877495246031958016,450,59,asian
550765170,171,0,asian
2942670568,276,176,white
4648690915,0,0,white
729643315973365761,0,0,asian
388819225,4,0,white
435332216,0,0,black
228294314,738,80,asian
904914903160340481,0,0,asian
822508533312847874,176,0,white
3237385513,396,1,white
896773352215293952,2747,1096,asian
1288813370,0,0,asian
895892776251830273,1231,26,white
3339864496,2566,222,white
3417031114,7,1,hispanic
823114472030093312,0,0,asian
855000554724098048,9,7,white
702765284214444032,0,0,white
3732478697,1032,522,white
2740385335,0,0,white
2740405062,692,3,white
172034561,1811,289,black
807224497375944705,2005,94,white
973182904602898433,36,5,white
967353925354455040,0,0,white
3256235858,126,14,asian
4721375566,405,123,white
14820511,297,0,white
14824125,0,0,white
946235188769710080,0,0,asian
327078549,2125,26,white
137930711,63,13,asian
927136499375788033,610,441,white
2324822778,0,0,white
939266412517900288,3225,0,asian
2986614305,2335,560,hispanic
459387184,43,5,white
220280268,0,0,asian
2422078520,33,1,asian
756541023472513024,1777,194,white
48898317,1539,625,white
191419760,0,0,black
963782034177929216,0,0,white
919694300744691713,88,7,white
207283547,2719,194,black
732336738333392896,0,0,white
969600258698248193,163,66,black
2856005487,0,0,white
2763426673,27,21,black
1115752802,371,20,white
3305269084,403,144,black
811560267444154368,54,10,asian
953632592904925186,0,0,white
14649701,2042,1,white
24271465,749,1,white
2550619232,0,0,white
2974068799,2,0,asian
757574118300463104,0,0,asian
1021470463,687,64,white
893562529468887041,46,0,white
889587527576891392,455,9,white
719823452291670016,925,13,white
3494362767,504,62,hispanic
30301541,834,23,black
236141596,1403,578,black
780531123101179905,283,225,hispanic
777573072295567360,1333,198,black
615411336,101,0,white
960329758377684992,1220,0,white
905805434115710977,3207,311,asian
108105616,145,0,white
182808463,2289,827,asian
4140197134,374,15,white
2703260734,1171,78,black
2561347454,201,39,white
863555329702973441,1306,72,white
3546637394,0,0,asian
892329877465989120,4,0,asian
711615782690668544,111,6,white
846689558397779968,0,0,asian
741598934632517632,0,0,asian
242755679,1086,149,white
777298993814597632,2062,109,hispanic
971032692002361349,0,0,asian
831915280406155264,12,4,asian
880315625440133120,19,6,white
3807070641,55,2,white
409116367,75,9,white
2950183239,0,0,hispanic
761385560841740289,709,98,asian
4895480166,67,47,asian
828959117544943616,360,44,white
4839827932,534,188,white
941257931969798144,68,1,asian
960307594710671362,62,23,black
938089694566293504,0,0,asian
2729673092,137,40,white
15995652,383,12,white
245491057,66,0,white
829389636845854720,714,67,asian
450286246,2179,1005,hispanic
4848548697,5,2,white
2364982070,2376,637,black
700710999335182337,333,208,asian
969389807800672261,1136,472,black
1402200787,79,6,white
492959837,0,0,white
326647852,260,48,black
4700036834,141,42,white
611370285,870,166,white
30574625,3166,2,white
935296744992231425,0,0,black
4636737673,522,58,asian
966349374627328000,0,0,black
734534289510039553,19,1,asian
224451851,2328,262,asian
277797375,31,9,white
2586678913,56,21,black
238953804,429,35,asian
165038938,1729,851,black
2730141598,351,119,white
599922077,0,0,white
2178947128,989,538,black
819664389255086081,766,67,white
725529343762567169,3244,763,white
274620822,1091,73,white
795297795532001283,157,118,white
3143319461,45,16,asian
847137103679045634,559,26,hispanic
26887261,30,0,black
829885070,0,0,white
185835055,103,45,hispanic
3161824700,332,87,white
39311430,654,189,white
521063034,686,338,asian
4672947373,67,20,asian
387677430,43,4,white
2733045428,584,9,white
948875046965014528,2194,139,asian
3001013198,253,29,white
427586463,2338,635,white
804190579,1304,948,white
52858746,286,3,white
864101540432302080,15,8,asian
266202086,1365,0,white
946544417241886721,0,0,asian
894531215990149120,490,36,asian
865700579179417600,460,22,white
31484177,3254,0,black
72886834,935,239,white
888018175975182337,2044,817,hispanic
120265682,304,2,black
765641636541902848,1052,147,black
3873451270,30,11,white
848070230915952640,41,4,asian
811184227966402560,229,53,white
4141850959,0,0,asian
2280336457,1058,215,asian
888441502216605696,48,0,asian
935353656047792128,18,7,black
3903815720,96,64,black
1049128292,375,62,black
4795202689,671,496,black
951716925410873344,2449,336,white
922102471106760704,2593,672,asian
907488234225131521,0,0,asian
913398821060792325,573,168,black
3732060552,1352,779,white
322727972,1918,49,white
974042707730534401,0,0,hispanic
3364934560,311,21,white
3028634674,411,90,black
2553983904,0,0,white
3424716045,583,300,white
453709268,153,41,white
954353997728563200,0,0,asian
2524419678,778,153,asian
965288957306195968,1302,206,hispanic
749956508,388,116,white
3166321782,37,9,asian
742851683978350592,0,0,white
894558508737191936,3218,0,asian
3369681538,2755,162,white
954737536152276992,570,189,white
3416494965,0,0,white
792162866644213761,724,213,black
4491618853,538,38,asian
240532088,693,207,black
614095375,190,34,white
827539800752324613,0,0,white
34297235,47,5,white
949915545217810432,0,0,asian
1881876336,242,0,hispanic
2246645257,94,39,white
895496646339047425,1503,496,black
811913072,537,192,black
777960774438232064,12,7,hispanic
366491124,61,38,asian
115153429,1993,443,white
176590557,2,0,white
3617010500,378,15,asian
64429749,766,161,white
943151168406122497,340,27,white
776437590,79,13,black
184632904,1928,279,black
3551536393,320,131,white
702155880431804416,0,0,hispanic
851538157220876289,384,13,asian
16443470,1893,82,white
907088306801868803,18,14,white
844258630073569282,1068,1008,black
944022307298795521,0,0,hispanic
307564259,1430,535,white
529531366,136,26,black
4371401735,3,1,other
971246278205112320,42,2,white
240302734,38,15,black
935535732998803456,247,2,asian
1850461922,604,145,asian
526030193,224,37,asian
862289017034997761,60,6,white
2409446210,2795,29,black
26999123,0,0,white
933568156966166529,0,0,asian
954364959827296257,2162,1737,white
895496184462065664,964,389,asian
891010634577477634,123,8,white
230900679,817,269,black
775735797550952449,0,0,asian
2928051823,0,0,asian
2871593247,1058,486,white
109924054,328,5,white
593974692,1681,355,hispanic
968874537470185472,0,0,asian
2248070191,92,0,white
17912213,1688,31,white
249617282,2360,1546,asian
3990257763,250,80,white
760438290,0,0,white
135619334,1168,485,black
819514611024044032,2,1,asian
611295977,0,0,black
2292826794,0,0,asian
905362579307978753,0,0,asian
727536651405254656,249,48,white
309353979,144,118,white
2328152306,210,35,white
900278316539695105,3216,0,asian
729686595498967040,122,7,asian
791762432951713795,0,0,white
906442695224291333,952,0,white
3375186436,0,0,white
2804956045,173,1,asian
2377937124,1833,314,white
717476455425376259,1928,664,hispanic
941642264266252288,3240,0,asian
863554443161329668,212,72,white
2654830493,3,2,white
923279222663245824,0,0,asian
301203322,0,0,white
725752411,112,84,white
905245782617546752,1046,175,black
861744738847862784,87,68,black
287218858,0,0,white
1056123570,694,43,white
847538860531736576,0,0,asian
4704971742,263,7,asian
757977860145553408,0,0,black
48580870,3012,377,white
959679827317051392,0,0,white
2850688034,0,0,white
33092338,1476,384,black
2868147093,137,1,white
1447020739,1534,388,black
26682471,240,26,white
330429430,0,0,white
422523416,23,4,asian
3022860038,65,37,white
728695006068940800,624,70,white
947804901702115329,586,376,asian
2705290873,170,0,white
712237808,324,180,black
83353811,3027,32,white
954165111840686080,725,11,asian
4280419455,711,350,black
788227566461214724,73,13,white
948261743008075776,0,0,white
819102393283395586,3228,0,asian
804985142322176000,0,0,asian
479834783,0,0,black
166656039,597,126,white
