User,Tweets,Tweets_with_Emoji,Race
2855285293,1365,84,asian
348360099,1036,58,asian
378294305,841,537,white
48098368,2926,638,black
220547748,311,136,asian
345349367,844,633,asian
360956303,908,1,white
833049546670346241,1900,312,white
490733537,13,3,white
895935557238366208,3242,10,asian
4370979517,2197,640,asian
3344184579,1135,61,hispanic
387371885,664,9,white
944312589118590976,2309,23,black
2172362082,122,37,asian
1627962474,21,14,hispanic
3152165447,796,234,hispanic
934940186756173824,1578,104,white
3368808322,2085,150,other
836237626302738432,612,47,hispanic
3028322950,1585,697,asian
4207862716,259,52,white
968825443385298944,1,1,white
21642560,3191,3,white
143227481,1539,11,white
956554041869422593,24,2,white
946812222201913345,98,58,white
2907714057,66,42,white
172358723,671,57,asian
837815632053829632,314,41,white
856948258291290112,2173,818,black
2286698570,25,5,black
99162484,1630,92,white
446447323,341,87,hispanic
4133829443,1590,328,white
966501474023780352,155,55,asian
841535595159543809,9,3,asian
519772860,645,140,white
523795518,140,62,black
2575478108,333,36,white
732366867981991936,1803,435,asian
945458449177088000,46,11,white
917673397143793664,11,1,asian
458717914,27,3,white
378705020,1984,8,hispanic
555701122,64,30,hispanic
969986290161631232,352,204,asian
3317980636,45,12,black
1127917514,666,131,white
3148877467,470,149,asian
46477493,672,15,white
3025534540,25,1,white
876963239124385792,1575,29,asian
2264195513,33,3,black
2979425783,397,233,black
1625047010,734,262,black
832903779032801280,50,5,asian
735149386695606272,8,1,white
3026703299,280,146,black
1036289552,132,28,hispanic
889127864901279747,52,20,black
2486776481,102,10,hispanic
31035315,700,119,black
569275532,1093,145,black
743981599323099136,305,204,asian
889231138853670913,419,126,white
872258115005288448,111,33,white
2440055535,619,95,white
121247765,630,255,hispanic
67168164,1832,13,white
817404143111258112,362,101,asian
957136008427970561,2,1,hispanic
4143680969,653,29,hispanic
155546554,1650,66,asian
2302281243,1460,612,black
917545967548641280,380,5,asian
3083626423,1690,435,white
1604977993,122,76,white
285806268,126,24,white
826647947441901569,6,1,white
65954557,565,35,white
839079476,413,151,asian
888106665244934144,2660,1,white
961675688498679808,653,3,white
111268236,1048,80,asian
3141273541,976,256,hispanic
847382713573056513,349,9,white
791324986959130626,1127,555,black
801277988717273088,118,77,asian
870167203,281,167,hispanic
83915318,1114,10,white
166855904,101,8,white
974007269368188928,15,1,white
196807117,190,36,white
728423831975563265,1296,227,white
91112841,145,63,white
929825945841733632,664,262,other
202006405,511,111,asian
918069152337690624,244,100,asian
781685069484167168,231,80,asian
741293443603824640,239,90,black
863998237363113984,251,154,white
195288276,1570,963,white
952853238939664384,116,30,asian
4260732651,92,46,white
253290055,587,122,black
2294100683,474,13,hispanic
40131311,1066,347,black
797403776,1908,776,black
2258071964,226,100,black
45579923,1774,275,black
940032320899186688,742,434,asian
3112358766,1756,273,white
286059069,178,15,asian
1055012653,908,9,white
2881361504,105,63,white
502250832,88,23,white
1216832677,661,34,white
3712878557,879,109,white
877495246031958016,450,59,asian
2942670568,276,176,white
228294314,738,80,asian
3237385513,396,1,white
896773352215293952,2747,1096,asian
895892776251830273,1231,26,white
3339864496,2566,222,white
3417031114,7,1,hispanic
855000554724098048,9,7,white
3732478697,1032,522,white
2740405062,692,3,white
172034561,1811,289,black
807224497375944705,2005,94,white
973182904602898433,36,5,white
3256235858,126,14,asian
4721375566,405,123,white
327078549,2125,26,white
137930711,63,13,asian
927136499375788033,610,441,white
2986614305,2335,560,hispanic
459387184,43,5,white
2422078520,33,1,asian
756541023472513024,1777,194,white
48898317,1539,625,white
919694300744691713,88,7,white
207283547,2719,194,black
969600258698248193,163,66,black
2763426673,27,21,black
1115752802,371,20,white
3305269084,403,144,black
811560267444154368,54,10,asian
14649701,2042,1,white
24271465,749,1,white
1021470463,687,64,white
889587527576891392,455,9,white
719823452291670016,925,13,white
3494362767,504,62,hispanic
30301541,834,23,black
236141596,1403,578,black
780531123101179905,283,225,hispanic
777573072295567360,1333,198,black
905805434115710977,3207,311,asian
182808463,2289,827,asian
4140197134,374,15,white
2703260734,1171,78,black
2561347454,201,39,white
863555329702973441,1306,72,white
711615782690668544,111,6,white
242755679,1086,149,white
777298993814597632,2062,109,hispanic
831915280406155264,12,4,asian
880315625440133120,19,6,white
3807070641,55,2,white
409116367,75,9,white
761385560841740289,709,98,asian
4895480166,67,47,asian
828959117544943616,360,44,white
4839827932,534,188,white
941257931969798144,68,1,asian
960307594710671362,62,23,black
2729673092,137,40,white
15995652,383,12,white
829389636845854720,714,67,asian
450286246,2179,1005,hispanic
4848548697,5,2,white
2364982070,2376,637,black
700710999335182337,333,208,asian
969389807800672261,1136,472,black
1402200787,79,6,white
326647852,260,48,black
4700036834,141,42,white
611370285,870,166,white
30574625,3166,2,white
4636737673,522,58,asian
734534289510039553,19,1,asian
224451851,2328,262,asian
277797375,31,9,white
2586678913,56,21,black
238953804,429,35,asian
165038938,1729,851,black
2730141598,351,119,white
2178947128,989,538,black
819664389255086081,766,67,white
725529343762567169,3244,763,white
274620822,1091,73,white
795297795532001283,157,118,white
3143319461,45,16,asian
847137103679045634,559,26,hispanic
185835055,103,45,hispanic
3161824700,332,87,white
39311430,654,189,white
521063034,686,338,asian
4672947373,67,20,asian
387677430,43,4,white
2733045428,584,9,white
948875046965014528,2194,139,asian
3001013198,253,29,white
427586463,2338,635,white
804190579,1304,948,white
52858746,286,3,white
864101540432302080,15,8,asian
894531215990149120,490,36,asian
865700579179417600,460,22,white
72886834,935,239,white
888018175975182337,2044,817,hispanic
120265682,304,2,black
765641636541902848,1052,147,black
3873451270,30,11,white
848070230915952640,41,4,asian
811184227966402560,229,53,white
2280336457,1058,215,asian
935353656047792128,18,7,black
3903815720,96,64,black
1049128292,375,62,black
4795202689,671,496,black
951716925410873344,2449,336,white
922102471106760704,2593,672,asian
913398821060792325,573,168,black
3732060552,1352,779,white
322727972,1918,49,white
3364934560,311,21,white
3028634674,411,90,black
3424716045,583,300,white
453709268,153,41,white
2524419678,778,153,asian
965288957306195968,1302,206,hispanic
749956508,388,116,white
3166321782,37,9,asian
3369681538,2755,162,white
954737536152276992,570,189,white
792162866644213761,724,213,black
4491618853,538,38,asian
240532088,693,207,black
614095375,190,34,white
34297235,47,5,white
2246645257,94,39,white
895496646339047425,1503,496,black
811913072,537,192,black
777960774438232064,12,7,hispanic
366491124,61,38,asian
115153429,1993,443,white
3617010500,378,15,asian
64429749,766,161,white
943151168406122497,340,27,white
776437590,79,13,black
184632904,1928,279,black
3551536393,320,131,white
851538157220876289,384,13,asian
16443470,1893,82,white
907088306801868803,18,14,white
844258630073569282,1068,1008,black
307564259,1430,535,white
529531366,136,26,black
4371401735,3,1,other
971246278205112320,42,2,white
240302734,38,15,black
935535732998803456,247,2,asian
1850461922,604,145,asian
526030193,224,37,asian
862289017034997761,60,6,white
2409446210,2795,29,black
954364959827296257,2162,1737,white
895496184462065664,964,389,asian
891010634577477634,123,8,white
230900679,817,269,black
2871593247,1058,486,white
109924054,328,5,white
593974692,1681,355,hispanic
17912213,1688,31,white
249617282,2360,1546,asian
3990257763,250,80,white
135619334,1168,485,black
819514611024044032,2,1,asian
727536651405254656,249,48,white
309353979,144,118,white
2328152306,210,35,white
729686595498967040,122,7,asian
2804956045,173,1,asian
2377937124,1833,314,white
717476455425376259,1928,664,hispanic
863554443161329668,212,72,white
2654830493,3,2,white
725752411,112,84,white
905245782617546752,1046,175,black
861744738847862784,87,68,black
1056123570,694,43,white
4704971742,263,7,asian
48580870,3012,377,white
33092338,1476,384,black
2868147093,137,1,white
1447020739,1534,388,black
26682471,240,26,white
422523416,23,4,asian
3022860038,65,37,white
728695006068940800,624,70,white
947804901702115329,586,376,asian
712237808,324,180,black
83353811,3027,32,white
954165111840686080,725,11,asian
4280419455,711,350,black
788227566461214724,73,13,white
166656039,597,126,white
1378530710,13,3,white
17439820,1683,95,white
1858782266,180,95,white
3207346461,951,5,white
2782504623,1662,36,white
134933749,2346,536,black
738855490193489920,361,8,asian
755114218685337602,546,154,hispanic
733654125880152064,368,54,hispanic
956785593945649152,4,4,white
885525377237434369,16,11,asian
17091056,508,47,white
243080755,2595,2271,white
881004374952161280,2446,186,black
635936230,827,264,black
2584533817,1014,346,hispanic
27978188,1903,515,white
880851720246611968,124,24,white
85662606,78,49,white
973800775704039425,2272,490,asian
1090090759,1284,110,black
914187277181554688,314,45,white
936101422986289152,273,3,white
899346401783672835,285,187,white
840375240471400448,29,1,white
614022503,55,17,white
290076402,1958,242,white
839390943144914944,15,2,asian
42211806,765,30,asian
702245912,172,8,asian
716978155,618,87,black
959412320794435584,896,592,white
755860977351004160,111,63,white
958126761459449857,2200,728,asian
4795183033,96,1,white
705962144,46,35,white
885807598510854145,759,280,asian
576597864,1077,87,white
846695748423045121,21,2,hispanic
53237035,576,64,white
258045316,2360,302,hispanic
144784192,58,20,white
776623707200557056,1460,818,black
780117372099235841,2059,147,white
910820413487190016,677,246,asian
182401982,373,7,white
535644153,801,253,black
846642733183881216,481,5,white
748606083825012736,2256,124,white
512162842,731,185,black
107549700,1544,12,hispanic
150363007,1113,635,black
723884583477874688,402,23,asian
2640285473,8,1,black
966331189463212033,719,83,asian
2925643590,133,11,asian
2539970178,150,90,asian
911555559886921728,2859,449,white
806123213377785856,736,192,asian
907298192462635008,185,39,white
762848898385784832,289,27,white
908594002584231936,3203,148,asian
4882253906,246,145,asian
3843183314,29,8,black
276050759,55,6,asian
1040312450,1528,66,white
794581375,394,157,black
751149207378100224,1022,207,white
3474551054,2561,283,black
3176771474,516,107,black
