User,Tweets,Tweets_with_Emoji,Gender
2842537519,1249,12,male
1347664970,1163,248,female
462130489,648,35,male
3698997617,57,1,female
958105864585515008,132,66,female
3002744908,837,716,female
737433819251367936,1340,528,female
3043697397,111,33,female
117664959,1674,19,female
759808639288827908,1,1,female
101698121,2328,436,female
3000228110,1051,469,female
352357472,284,89,male
3065350482,1712,1347,male
811576049259675648,14,7,female
735432613406474240,3200,2615,female
610213280,517,212,female
950880986400722945,392,162,female
971082142229942273,332,153,female
2848687937,1603,312,male
960803050242887680,87,3,male
723032979186941952,1090,557,male
723179515405426690,620,16,male
453173374,311,32,female
756124186012225536,1167,149,female
2522388707,31,21,female
105810909,5,1,male
714954631,17,6,female
2384009352,143,40,male
400159583,73,15,male
250466022,1489,1337,female
594402783,99,1,male
813794033055203328,736,31,male
2239650379,1053,21,female
267831949,425,62,female
1466876166,295,19,female
797924219875164160,390,44,male
2177500365,37,16,female
835139964560007168,3,2,male
967466340767469571,213,7,male
968741724716785664,3215,3,female
844957886962905088,11,3,male
112523525,151,95,male
3345841677,985,77,male
2979716295,1589,443,male
801082379041271808,47,41,female
3233853293,60,22,male
19551156,809,3,male
2565942311,208,3,female
882519602479194112,45,5,male
20545502,269,200,female
2318097395,585,180,male
790033540041801729,1284,205,male
928430453715099650,22,3,male
823870937518903296,33,1,male
973936414965551105,1,1,female
1093195062,1072,507,male
866078300137025536,347,17,female
2997735491,457,48,female
207893356,732,165,male
1423449038,98,18,female
969059448684675072,431,40,female
4868316064,1976,734,male
18843490,767,131,female
67642530,480,378,female
537091300,156,51,female
816613676887265280,159,25,female
747593734003560448,437,70,female
4905584345,20,1,female
242480017,775,42,female
926851731912245248,2,1,female
956044474546835457,130,10,male
213692240,393,64,female
122383974,1858,203,male
4506157512,6,2,female
26755515,712,163,female
887509482674302976,895,33,female
1921451420,435,399,male
53112426,403,67,male
455900057,340,2,male
1123617980,378,258,female
813760675939897345,1627,191,male
1588347546,1331,131,female
4017493874,112,42,female
709157447689179136,2631,75,female
1883054389,47,3,male
903542191485804545,68,17,female
271623630,558,88,male
2959232501,244,13,male
962938555382210560,31,4,female
137584009,1696,882,female
348714919,1330,909,female
85945910,316,5,female
366197755,276,74,male
4839575039,152,3,male
770413897283145728,3030,39,male
932729989841203200,16,2,female
861436434883923969,28,16,female
3309030822,470,211,female
837720170474913792,934,279,female
180876823,708,15,female
773708925631946753,1019,25,male
702981947316809728,76,3,female
3078448471,189,53,female
887896047640612864,80,4,male
1408504351,627,81,male
332895752,563,87,male
396715972,2157,2,male
903499099160297473,587,154,female
1297446247,760,58,male
2377819770,1137,364,female
2855285293,1365,84,male
348360099,1036,58,male
4916654500,14,3,male
378294305,841,537,female
48098368,2926,638,male
220547748,311,136,male
1138530536,544,178,female
338687237,240,117,female
345349367,844,633,male
360956303,908,1,male
833049546670346241,1900,312,female
490733537,13,3,female
895935557238366208,3242,10,female
4370979517,2197,640,female
3344184579,1135,61,male
387371885,664,9,male
944312589118590976,2309,23,male
270112001,2728,66,female
3385955823,579,10,male
2172362082,122,37,male
1627962474,21,14,female
3152165447,796,234,male
3316339500,554,264,male
934940186756173824,1578,104,female
3368808322,2085,150,female
836237626302738432,612,47,female
3028322950,1585,697,female
4207862716,259,52,female
968825443385298944,1,1,female
21642560,3191,3,female
143227481,1539,11,male
956554041869422593,24,2,female
946812222201913345,98,58,female
2907714057,66,42,female
2929072089,624,24,female
172358723,671,57,female
837815632053829632,314,41,female
856948258291290112,2173,818,female
2286698570,25,5,female
99162484,1630,92,female
446447323,341,87,female
4133829443,1590,328,female
131825316,2025,465,male
966501474023780352,155,55,male
841535595159543809,9,3,male
519772860,645,140,female
523795518,140,62,female
2575478108,333,36,male
732366867981991936,1803,435,female
945458449177088000,46,11,female
917673397143793664,11,1,male
458717914,27,3,male
378705020,1984,8,male
555701122,64,30,female
969986290161631232,352,204,male
3317980636,45,12,female
592294948,182,94,female
1127917514,666,131,female
3148877467,470,149,female
46477493,672,15,male
818342315655737344,19,10,female
3025534540,25,1,female
876963239124385792,1575,29,male
2264195513,33,3,female
2979425783,397,233,female
1625047010,734,262,male
832903779032801280,50,5,male
735149386695606272,8,1,female
3026703299,280,146,male
1036289552,132,28,female
889127864901279747,52,20,male
2486776481,102,10,female
31035315,700,119,female
569275532,1093,145,male
743981599323099136,305,204,male
889231138853670913,419,126,male
872258115005288448,111,33,female
1801686481,37,7,female
836431400957988866,1014,180,female
2440055535,619,95,male
121247765,630,255,male
67168164,1832,13,male
817404143111258112,362,101,male
957136008427970561,2,1,male
4143680969,653,29,female
1706146255,34,26,male
155546554,1650,66,male
64548033,3065,851,female
2302281243,1460,612,male
917545967548641280,380,5,female
3083626423,1690,435,male
1604977993,122,76,female
285806268,126,24,female
826647947441901569,6,1,female
65954557,565,35,female
839079476,413,151,female
888106665244934144,2660,1,male
3325109770,1120,64,female
961675688498679808,653,3,male
111268236,1048,80,male
3141273541,976,256,female
847382713573056513,349,9,male
791324986959130626,1127,555,female
112837851,190,95,male
870167203,281,167,female
83915318,1114,10,male
166855904,101,8,male
974007269368188928,15,1,male
196807117,190,36,female
3308254791,483,247,male
728423831975563265,1296,227,female
91112841,145,63,male
565252743,2125,31,male
929825945841733632,664,262,male
202006405,511,111,female
781685069484167168,231,80,female
741293443603824640,239,90,female
863998237363113984,251,154,male
195288276,1570,963,male
952853238939664384,116,30,male
4260732651,92,46,female
904911304380571648,196,1,male
951589703370858497,1370,1077,female
4713291622,902,334,female
253290055,587,122,male
788763069354643456,1228,79,female
2294100683,474,13,female
40131311,1066,347,female
797403776,1908,776,male
2258071964,226,100,female
1411541821,144,57,female
938058500240039936,12,3,female
45579923,1774,275,male
940032320899186688,742,434,male
806275564432662529,1485,175,female
3112358766,1756,273,female
262314353,515,210,female
286059069,178,15,female
1055012653,908,9,male
2881361504,105,63,female
502250832,88,23,female
1216832677,661,34,female
3712878557,879,109,female
877495246031958016,450,59,female
2942670568,276,176,female
228294314,738,80,male
3237385513,396,1,male
896773352215293952,2747,1096,male
895892776251830273,1231,26,male
3339864496,2566,222,female
3417031114,7,1,female
855000554724098048,9,7,female
3732478697,1032,522,female
2740405062,692,3,male
172034561,1811,289,female
807224497375944705,2005,94,male
973182904602898433,36,5,male
3256235858,126,14,male
4721375566,405,123,female
327078549,2125,26,male
137930711,63,13,female
927136499375788033,610,441,male
2986614305,2335,560,male
459387184,43,5,female
756541023472513024,1777,194,female
48898317,1539,625,female
919694300744691713,88,7,male
207283547,2719,194,male
969600258698248193,163,66,female
2763426673,27,21,male
1115752802,371,20,male
3305269084,403,144,male
811560267444154368,54,10,female
14649701,2042,1,male
3383496351,490,186,male
24271465,749,1,male
312302775,2724,32,female
959301936,164,53,female
1021470463,687,64,male
889587527576891392,455,9,female
719823452291670016,925,13,male
3494362767,504,62,male
30301541,834,23,male
236141596,1403,578,male
780531123101179905,283,225,male
777573072295567360,1333,198,male
905805434115710977,3207,311,female
925543199279529984,63,3,male
182808463,2289,827,male
4140197134,374,15,female
2703260734,1171,78,male
2561347454,201,39,female
3760807154,567,6,male
863555329702973441,1306,72,male
711615782690668544,111,6,female
242755679,1086,149,male
777298993814597632,2062,109,female
831915280406155264,12,4,male
824522304,444,109,female
880315625440133120,19,6,female
3807070641,55,2,male
409116367,75,9,female
761385560841740289,709,98,male
4895480166,67,47,female
828959117544943616,360,44,male
4839827932,534,188,female
1267012195,131,4,male
929726209788801025,18,1,male
941257931969798144,68,1,male
960307594710671362,62,23,female
2916438421,1752,1214,male
319972312,88,10,female
2729673092,137,40,female
15995652,383,12,female
829389636845854720,714,67,male
450286246,2179,1005,female
4848548697,5,2,male
2364982070,2376,637,female
700710999335182337,333,208,male
1682307859,2426,15,male
969389807800672261,1136,472,female
2742846130,100,6,female
1402200787,79,6,female
326647852,260,48,male
4700036834,141,42,female
611370285,870,166,female
30574625,3166,2,male
4636737673,522,58,male
711196821389975552,1014,253,female
970362157387960320,3,1,female
734534289510039553,19,1,male
224451851,2328,262,female
277797375,31,9,male
2586678913,56,21,female
238953804,429,35,female
165038938,1729,851,male
2178947128,989,538,female
819664389255086081,766,67,female
725529343762567169,3244,763,female
219303874,258,24,male
274620822,1091,73,male
795297795532001283,157,118,male
3143319461,45,16,male
847137103679045634,559,26,female
185835055,103,45,female
3161824700,332,87,female
39311430,654,189,female
521063034,686,338,female
4672947373,67,20,male
387677430,43,4,female
2733045428,584,9,female
1626363199,3221,1487,male
948875046965014528,2194,139,male
3001013198,253,29,female
427586463,2338,635,male
4276732997,1641,940,male
561860796,17,12,female
804190579,1304,948,female
52858746,286,3,female
864101540432302080,15,8,female
2715565728,2419,148,male
3023113337,944,117,male
302998160,395,61,male
894531215990149120,490,36,male
865700579179417600,460,22,male
820311418306232320,1033,184,male
887915883963744256,2685,1993,female
72886834,935,239,female
888018175975182337,2044,817,female
120265682,304,2,female
765641636541902848,1052,147,female
3873451270,30,11,female
848070230915952640,41,4,female
811184227966402560,229,53,male
2280336457,1058,215,female
935353656047792128,18,7,female
3903815720,96,64,female
1049128292,375,62,female
4795202689,671,496,female
951716925410873344,2449,336,male
922102471106760704,2593,672,female
913398821060792325,573,168,male
3732060552,1352,779,male
322727972,1918,49,male
3364934560,311,21,female
3028634674,411,90,female
795979892299067392,289,32,male
3424716045,583,300,male
453709268,153,41,female
2524419678,778,153,female
965288957306195968,1302,206,female
749956508,388,116,female
2870073314,715,66,female
3166321782,37,9,female
3369681538,2755,162,female
954737536152276992,570,189,female
3176974094,230,110,female
1271187356,24,1,female
792162866644213761,724,213,female
4491618853,538,38,female
240532088,693,207,female
614095375,190,34,female
34297235,47,5,female
2246645257,94,39,female
