User,Tweets,Tweets_with_Emoji,Gender,Race
244919260,1420,0,,
3028744747,2605,0,,
1565422656,2715,359,female,white
2804769650,211,116,female,black
1385587892,27,3,,
890449487273099265,1795,75,female,white
87076660,148,94,,
3914046912,0,0,,
737281040247463937,9,2,male,asian
2413205501,661,0,,
3163923408,0,0,female,asian
961456649041977344,0,0,,
1707859914,624,4,male,
3985306641,1035,274,male,black
744411495728054276,51,18,female,
817831871602106368,108,1,male,white
2247805257,3244,0,,
2590689415,451,25,,
2972280287,2304,17,,
4917170635,0,0,female,white
396764263,3,0,male,hispanic
749996554233184256,36,12,male,black
706924951874306048,48,3,,
3261781584,873,0,,
740413897245655041,3218,14,,
2609060168,359,78,female,white
973171479733874689,368,177,male,asian
1274070692,0,0,,
888355578476736514,451,233,female,
2411267660,1036,290,,
2860456853,1135,226,male,white
2191424866,0,0,,
152265818,21,0,male,asian
3161042750,1298,334,female,
925738835887185920,146,25,,
864862979484917760,2613,0,female,asian
2956679029,0,0,,
449351049,1664,122,,
1021701020,237,1,male,asian
2258217415,0,0,,
1072571863,754,54,,
4695825943,398,5,,
626408590,87,16,,
20778999,1258,51,female,white
940250611076886528,384,178,,
152194744,381,0,male,white
3288327574,632,81,male,white
971440638230016000,4,0,male,asian
3240134942,316,76,female,white
704532531958456321,656,305,,
754805297600794624,63,11,,
799970639557709824,331,5,,
31164007,88,28,male,black
885825915913031680,0,0,,
121295191,1388,8,,
973380103143964673,15,7,,
31303160,0,0,female,black
177997512,2608,4,,
929385978921226242,70,23,,
830178219978584065,410,384,male,black
826195544133431298,2127,1,,
925683230514216961,97,4,,
350206002,3089,336,,
798847642570633226,507,278,,
3291986214,91,11,male,asian
798932465465298945,88,6,,
1566031518,3252,0,,
773181314367389697,204,178,,
200168725,963,856,,
55366490,237,22,,
1633279176,0,0,male,white
184303244,2116,402,,
3171924013,159,58,male,asian
4601506407,256,15,,
2941762796,484,2,,
889510201501429761,0,0,male,asian
2372007164,39,2,,
986142121,3174,0,,
3437111433,470,136,female,white
2531730563,477,49,male,
884117196657635328,334,44,female,hispanic
589834040,145,2,,
4704290946,829,587,female,white
2535804841,0,0,,
1692674148,55,40,female,hispanic
771697948371496964,0,0,,
862948618734587905,35,12,,
386850174,23,2,male,white
730588040,221,64,,
29036872,2138,8,,
961192440588914688,0,0,male,
729808821288198146,1,1,female,asian
942086343491907584,2643,401,,
883706525306372097,0,0,,
2593261352,368,1,female,white
823009857318121473,0,0,,
346213654,360,71,,
535568169,41,1,male,
3250698864,3228,546,,
967762221664108544,0,0,,
2300995910,150,4,,
260405159,0,0,,
815372498489339905,2459,211,,
741791713925070848,1127,329,,
806274924344025088,2660,985,,
