Emoji,P-value,ethnicity
⏺,2.0498515235307723e-20,not hispanic
👨🏿‍💼,2.0498515235307723e-20,not hispanic
👳🏻,2.0498515235307723e-20,not hispanic
⏪,2.0498515235307723e-20,not hispanic
🇩🇯,2.0498515235307723e-20,not hispanic
🙂,8.72952720978488e-19,hispanic
👇🏽,9.370956725657675e-19,hispanic
👋🏼,6.385883415299148e-17,hispanic
👍🏾,2.1153411464578275e-16,hispanic
🏃🏻‍♀️,1.3624557263558419e-15,hispanic
👵🏾,2.3071604947884103e-15,hispanic
👨🏻‍🍳,2.4567816863723773e-12,hispanic
👨🏻‍🎓,4.646786651189704e-11,hispanic
👩🏾‍🎨,7.53837748490017e-11,not hispanic
🕠,7.53837748490017e-11,not hispanic
🤹🏼‍♂️,7.53837748490017e-11,not hispanic
🇯🇴,7.53837748490017e-11,not hispanic
👩🏾‍🚀,7.53837748490017e-11,not hispanic
🏭,7.53837748490017e-11,not hispanic
💇🏼‍♂️,7.53837748490017e-11,not hispanic
🛂,7.53837748490017e-11,not hispanic
🤛🏾,7.53837748490017e-11,not hispanic
👷🏻‍♂️,7.53837748490017e-11,not hispanic
🇾🇪,7.53837748490017e-11,not hispanic
🦸‍♀️,7.53837748490017e-11,not hispanic
🤹🏻‍♀️,7.53837748490017e-11,not hispanic
🉐,7.53837748490017e-11,not hispanic
🤾‍♂️,7.53837748490017e-11,not hispanic
🏄🏽‍♀️,7.53837748490017e-11,not hispanic
👩🏼‍🍳,7.53837748490017e-11,not hispanic
🧖🏻‍♀️,7.53837748490017e-11,not hispanic
🦷,7.53837748490017e-11,not hispanic
🦙,7.53837748490017e-11,not hispanic
🇮🇩,7.53837748490017e-11,not hispanic
☪,7.53837748490017e-11,not hispanic
👮🏼‍♂️,7.53837748490017e-11,not hispanic
⛹🏻‍♀️,7.53837748490017e-11,not hispanic
👩🏻‍🚒,7.53837748490017e-11,not hispanic
🇹🇿,7.53837748490017e-11,not hispanic
👨🏻‍✈️,7.53837748490017e-11,not hispanic
👨‍👨‍👦‍👦,7.53837748490017e-11,not hispanic
🇦🇴,7.53837748490017e-11,not hispanic
🚹,7.53837748490017e-11,not hispanic
🤷🏼,7.53837748490017e-11,not hispanic
🕔,7.53837748490017e-11,not hispanic
⏫,7.53837748490017e-11,not hispanic
👨🏾‍✈️,7.53837748490017e-11,not hispanic
🚣🏻‍♂️,7.53837748490017e-11,not hispanic
🏌🏻‍♀️,7.53837748490017e-11,not hispanic
➰,7.53837748490017e-11,not hispanic
💆‍♂️,7.53837748490017e-11,not hispanic
🦞,7.53837748490017e-11,not hispanic
🧸,7.53837748490017e-11,not hispanic
👩🏽‍⚕️,7.53837748490017e-11,not hispanic
👮🏽‍♀️,7.53837748490017e-11,not hispanic
🇦🇬,7.53837748490017e-11,not hispanic
👷,7.53837748490017e-11,not hispanic
🦝,7.53837748490017e-11,not hispanic
🤸🏻,7.53837748490017e-11,not hispanic
🚴🏿‍♀️,7.53837748490017e-11,not hispanic
🤾,7.53837748490017e-11,not hispanic
🧚🏾‍♀️,7.53837748490017e-11,not hispanic
🏊🏾‍♂️,7.53837748490017e-11,not hispanic
🇩🇲,7.53837748490017e-11,not hispanic
🥾,7.53837748490017e-11,not hispanic
💇🏻,7.53837748490017e-11,not hispanic
🧻,7.53837748490017e-11,not hispanic
👨🏾‍🏫,7.53837748490017e-11,not hispanic
🕜,7.53837748490017e-11,not hispanic
🧙🏽‍♀️,7.53837748490017e-11,not hispanic
🤹🏻‍♂️,7.53837748490017e-11,not hispanic
🦠,7.53837748490017e-11,not hispanic
🚵🏽‍♀️,7.53837748490017e-11,not hispanic
🇲🇹,7.53837748490017e-11,not hispanic
🇬🇳,7.53837748490017e-11,not hispanic
🏩,7.53837748490017e-11,not hispanic
👷🏼‍♀️,7.53837748490017e-11,not hispanic
🙅🏾,7.53837748490017e-11,not hispanic
🇲🇬,7.53837748490017e-11,not hispanic
🇲🇳,7.53837748490017e-11,not hispanic
🇷🇪,7.53837748490017e-11,not hispanic
🙍🏻‍♀️,7.53837748490017e-11,not hispanic
