	User	Tweets	Tweets_with_Emoji	Race
22357	3087036425	242	16	black
22359	701725490432835586	137	51	black
22501	2212884417	3	1	black
22511	2699610717	445	357	black
22662	248491362	2290	1094	black
22686	1225626217	426	311	black
22804	1558441117	420	288	black
22841	946361638969663488	21	5	black
22946	350906823	3125	1647	black
22962	710979769	50	36	black
23077	725630547075207168	445	4	black
23108	3082641785	1607	448	black
23230	885161315874066432	96	52	white
23262	890946045554954241	1040	747	black
23343	3295185105	38	19	black
23346	836684409613004801	10	8	black
23373	3982590869	689	226	black
23381	757583201586016257	942	845	black
23416	969249946531659776	54	44	black
23481	953670911575474176	50	10	black
23513	504086951	134	97	black
23554	923206380374429696	45	15	black
23720	3130861702	202	125	black
23730	266438678	762	94	white
23764	2992011658	1485	255	black
23881	2504700322	212	177	black
24027	179025448	2647	1034	black
24029	1970602405	720	284	black
24186	76415636	1174	3	black
24251	54468102	1660	920	black
24277	2846685375	56	8	black
24291	812184914590310400	418	177	black
24335	90354907	14	5	white
24350	271285902	101	46	black
24416	928678610021568514	22	2	white
24442	867463073707286529	248	97	black
24651	860146017253171200	504	217	black
24722	898599014425391108	32	23	black
24856	96159935	59	23	black
24892	14979991	601	268	white
25067	343935848	126	27	black
25136	818868128054734850	1472	552	black
25149	912917012615192577	240	62	black
25230	754304317549490176	19	13	black
25318	4035673041	791	512	black
25534	205898637	56	6	white
25557	815515047514533888	11	8	black
25567	489172490	41	4	white
25614	2303892172	175	133	black
25689	168145663	187	65	white
25692	218951264	1560	546	black
25807	939916613184258049	3	1	black
25828	614287416	12	9	black
25843	754210518081085440	2363	416	black
25917	48692950	634	11	white
25957	1295118961	227	55	white
26101	542970066	2535	1022	black
26102	968923003127042048	486	28	black
26117	912791315649351680	162	30	white
26167	2820310107	274	69	black
26191	712566090040221698	10	3	black
26217	255126976	892	482	black
26265	952931198430580746	17	4	black
26310	956522190308028416	47	29	black
26335	792084528366051332	73	39	black
26403	4821812764	58	6	white
26425	961153403018776577	41	7	black
26432	1325392945	155	94	black
26440	248209235	214	111	black
26640	959382840671637510	118	15	black
26643	215028754	211	13	white
26669	4159587923	349	255	black
26819	215461895	397	1	white
26832	973911003195957249	68	19	black
26851	311578305	512	316	black
26948	3897608008	1171	350	black
26981	438507461	97	19	white
27013	930602236346028032	34	5	black
27076	927788643573432320	131	13	black
27293	4763066175	18	15	black
27306	853305529229246464	30	21	black
27322	280449977	60	44	black
27336	4380730575	383	192	black
27408	528277741	411	204	black
27477	286765088	80	34	black
27527	52945674	43	22	white
27543	442095950	296	158	black
27563	916814976408530944	16	1	black
27631	3428321872	740	21	black
27638	283126514	63	32	black
27769	4550548401	259	125	black
27929	169996267	26	9	black
28005	941761559596060672	64	27	black
28028	2682907019	807	270	black
28039	242257728	2050	1219	black
28142	859325783839559680	1857	1094	black
28170	339647604	119	17	black
28178	264862109	77	15	black
28356	833407141008515072	44	36	black
28411	798494863935279104	354	133	white
28428	2879433099	1280	597	black
28435	2861917080	274	96	black
28483	773784203733430273	174	3	black
28588	793485434768781312	626	405	black
28627	922382402756005888	118	21	black
28651	859659339463786498	369	138	black
28674	761252348618543104	1378	939	black
28719	260104459	1091	766	black
28737	918416852442853376	507	289	black
28750	218025945	50	32	black
28891	2248226002	584	366	black
28908	956093661586051072	157	4	black
28974	899604334903734273	119	48	white
28976	14085457	78	2	white
29000	738773416887652352	38	5	white
29041	849497990	434	278	black
29083	270435749	109	18	black
29156	757253388597923841	16	9	black
29162	939904554052833285	329	120	white
29220	214527219	252	68	black
29299	831073392954601472	34	19	black
29311	4450689147	53	27	black
29437	3342992074	18	7	white
29529	826023646313508868	125	82	black
29543	928271940602691584	291	131	black
29553	302594991	240	134	black
29558	925020120866611200	808	209	white
29564	587279443	285	147	black
29565	728211582	185	71	black
29650	713052684	113	3	black
29710	188661825	532	59	black
29767	977694311386099712	114	78	black
29811	160685025	61	33	black
29834	889555084631306240	63	31	black
29947	148656836	619	100	white
29989	976844332761264128	3	1	black
30025	888296267285004288	1766	69	white
30072	717163289269125120	431	31	white
30149	911762747620233216	16	5	black
30193	1922182358	248	19	white
30240	954185807971176448	5	1	black
30251	62297473	2562	115	white
30289	20744078	474	14	white
30388	1434232622	1232	49	white
30487	962466463843045376	336	271	white
30544	260479987	390	14	white
