,User,Tweets,Tweets_with_Emoji,True_Gender
17815,1334346330,94,32,female
17895,140835779,65,1,male
17904,17677481,16,1,female
18015,564451624,64,1,male
18031,9.04630942656062E+017,10,8,female
18074,122520328,19,4,male
18226,9.78020759200256E+017,29,15,female
18332,21098927,45,12,female
18370,59013553,256,1,male
18615,39271048,154,37,female
18683,86186700,117,32,female
18702,20932977,27,1,male
18819,611767246,1214,749,male
18886,300401773,394,167,male
18887,468690449,245,128,female
18897,437879583,67,1,male
19090,633076386,137,24,male
19160,528431278,97,18,male
19317,19588578,112,47,female
19389,473396238,1819,639,male
19470,26029730,163,2,male
19536,261803209,622,38,male
19598,38198857,51,8,female
19616,398718665,104,16,female
19623,1675837226,13,1,male
19626,784282147,150,77,male
19824,848840857,86,38,male
19836,301652464,15,1,female
19888,40785658,31,10,female
20003,8.98506958629732E+017,6,3,female
20063,33868501,58,20,female
20154,8.41280803464204E+017,23,16,male
20248,2855473577,175,7,male
20249,7.97830680000533E+017,67,47,male
20257,22762497,3227,108,male
20270,2967575897,26,13,male
20274,1633546986,328,246,female
20489,7.12924276995842E+017,1257,74,male
20538,4877440144,189,57,female
20546,9.57692732524331E+017,53,14,male
20593,2702678259,69,59,female
20601,9.02598624785432E+017,10,8,female
20652,3973414517,1604,393,male
20797,9.11292104546161E+017,589,492,male
20808,9.24455036519842E+017,249,154,male
21014,1435730810,6,2,female
21193,9.36305319537512E+017,1986,248,female
21289,394532244,698,299,female
21396,9.70089218860044E+017,4,3,male
21432,8.00763931883016E+017,623,59,male
21750,36637728,2882,870,male
21755,9.33818253234852E+017,22,5,female
21833,9.02540372768944E+017,10,8,female
21840,8.61288413516976E+017,1046,471,female
21923,386511386,1122,597,male
21983,200087313,71,1,male
22070,126923872,535,352,female
22119,1274615132,98,71,male
22235,590505059,2098,259,male
22297,230465764,89,43,male
22316,147548294,241,28,male
22335,8.51363349610861E+017,170,64,male
22372,945393481,18,5,female
22378,189216183,99,30,female
22472,3162919564,67,55,female
22511,2699610717,445,357,female
22519,7.12276243991929E+017,53,2,male
22575,9.36951131317703E+017,69,49,male
22585,435232441,2459,1094,male
22597,2655392109,39,1,female
22630,3244559297,136,27,female
22673,4905429921,196,125,male
22699,8.0460396922189E+017,18,7,female
22719,9.66577948806537E+017,136,47,male
22806,9.59900234649342E+017,36,10,male
22866,8.74193450517877E+017,43,12,male
22921,49629529,1039,405,female
22985,754629300,24,6,female
22990,8.62088212675691E+017,170,135,female
23004,7.37437195712205E+017,1438,1229,female
23035,9.04690711785767E+017,58,46,male
23145,810941874,30,14,female
23211,2994893903,2113,1519,female
23212,8.50405409437479E+017,145,61,female
23242,3318157450,454,288,female
23297,7.42380222683701E+017,897,270,male
23332,9.19858275709014E+017,9,1,male
23397,366544630,116,12,male
23404,3618129077,1987,1450,female
23428,8.15955349018702E+017,179,68,male
23437,8.05871582098899E+017,19,15,male
23448,96932071,19,10,male
23605,9.23662957141221E+017,75,26,male
23618,9.22562883871003E+017,49,19,female
23667,583914977,316,132,female
23727,204410863,100,13,male
23752,4868493723,6,5,female
23765,168677159,172,54,female
23835,8.12620065229119E+017,100,2,male
23887,9.50716495092429E+017,32,26,female
23918,174629133,45,4,male
23936,2783669044,335,104,male
24001,4909650676,249,69,female
24060,2246593035,1,1,female
24172,7.98864033218777E+017,539,219,female
24193,7.1772458355463E+017,75,45,female
24264,2212559531,161,26,female
24303,465044394,920,502,female
24344,9.25849108832752E+017,1039,680,female
24369,9.23311560487039E+017,5,2,female
24422,3366528101,36,7,male
24485,3421792941,39,23,male
24585,28542355,108,2,female
24729,8.0102997089842E+017,15,4,female
24808,635319287,643,376,female
24841,108883718,421,369,female
25021,8.18854855766868E+017,73,39,female
25141,1344508464,8,3,male
25239,1417538113,77,39,male
25278,8.9383686524101E+017,19,6,male
25279,2626225707,981,647,female
25288,401278462,1161,824,female
25309,634836235,60,4,male
25323,8.65333311077593E+017,36,18,female
25387,8.00794317203775E+017,268,23,male
25438,9.25684012504486E+017,95,1,female
25483,9.18915511982883E+017,87,1,male
25501,827307127,110,17,female
25589,3291864058,1133,654,female
25596,569753431,26,13,female
25607,8.65939462156669E+017,110,39,male
25632,218494959,224,185,male
25654,580953317,1063,871,female
25679,42607509,33,21,female
25723,256443150,10,9,male
25759,470096975,105,82,female
25793,2860838558,6,2,male
25805,1008063235,135,3,male
25853,3252716963,1070,236,female
25906,98126831,748,346,male
25925,566772009,308,222,male
25983,8.34729937332499E+017,58,28,female
26027,232139332,1985,362,female
26038,9.57650071067222E+017,111,66,male
26105,8.44421899291636E+017,162,112,female
26149,39455788,453,6,male
26165,8.45214309575733E+017,273,105,male
26210,9.12949167563125E+017,102,60,female
26295,4829380965,272,174,female
26334,1749772856,603,365,female
26365,826854901,93,11,female
26372,994605271,15,4,female
26381,9.34767640492601E+017,25,7,male
26425,9.61153403018776E+017,41,7,female
26440,248209235,214,111,female
26455,234716553,29,2,male
26485,7.84517884408103E+017,392,223,male
26548,341378445,99,80,female
26560,7.34392689576317E+017,66,12,male
26663,175138927,282,29,male
26664,99064838,962,367,male
26794,9.22645723199558E+017,13,5,male
26822,7.41608573302608E+017,421,347,female
26863,9.5718083351278E+017,267,181,male
26923,7.91334709599072E+017,11,6,female
26970,290082981,230,187,female
27045,488344182,77,24,male
27058,2469405837,15,5,female
27060,179481675,154,36,male
27070,2397058143,75,24,female
27115,41328029,507,163,male
27133,8.92778344361624E+017,73,18,male
27200,319667530,57,31,female
27262,7.7492203945506E+017,10,9,male
27331,3294945964,23,10,female
27422,2937681743,44,4,male
27446,2385330828,319,200,female
27472,55043496,259,31,female
27504,8.87448637470634E+017,17,11,male
27540,189198058,14,1,male
27762,253965042,2409,1754,male
27863,164318179,139,30,male
27887,7.84763811244937E+017,59,42,female
27941,576002446,228,83,female
27980,4256549607,586,246,female
28079,4821890686,221,80,female
28189,427194243,156,67,male
28245,9.62355730870399E+017,26,20,female
28314,3402788974,67,1,male
28424,563929905,355,141,male
28433,8.89851721106813E+017,32,3,female
28512,48775829,2277,1160,female
28663,8.63266676237894E+017,189,126,female
28669,1020749154,1154,383,female
28726,274926634,7,4,female
28741,207431857,2154,1692,female
28795,426129525,137,105,female
28799,8.18091499011318E+017,874,567,female
28868,4242935482,265,20,male
29041,849497990,434,278,male
29059,3075034834,431,65,male
29090,408683294,1285,91,male
29116,8.01766555872883E+017,907,523,male
29202,3473560876,1290,895,female
29290,2865027410,164,48,female
29305,3350727771,373,154,female
29325,3511503437,38,13,female
29410,209959280,150,113,female
29414,282579499,93,74,male
29461,782845224,555,331,male
29529,8.26023646313509E+017,125,82,male
29561,499781986,17,1,female
29563,63437909,250,9,male
29574,4744181789,16,9,female
29825,1683008438,301,162,female
29837,1842876937,86,43,male
29845,8.67127650279666E+017,196,68,female
29858,333309101,75,70,female
29871,991196760,3,2,female
29963,1722058484,22,5,female
29998,201307294,254,49,male
30070,8.24657382122856E+017,61,5,female
30132,2999029709,70,27,female
30139,64378935,306,98,female
30172,3659526677,324,58,male
30300,342629477,196,13,male
30346,1546943684,69,1,female
30374,2645466086,145,1,male
30385,232951129,390,16,male
30417,159695418,2,1,female
30433,80895985,1539,37,male
30599,8.76590694219035E+017,69,3,male
30645,307514673,160,3,male
30660,44636380,325,14,male
30758,737152550,60,10,male
30808,454287165,345,30,female
30809,3165592767,234,5,female
30820,2436363543,49,1,female
30862,111693436,46,11,male
30883,7.50449199314076E+017,34,2,male
30969,270592440,109,11,male
31015,1618149793,59,8,male
31093,8.40774680818549E+017,97,22,female
31102,16638950,13,4,female
31344,304154066,262,22,female
31364,3031615083,113,57,male
31381,281825506,594,243,female
31470,3384777250,11,8,female
31490,8.45752740190048E+017,26,3,female
31503,2276755310,459,290,female
31527,479190197,189,41,male
31638,179393131,300,6,female
31692,2537962288,2257,262,male
31760,278604320,218,27,male
31839,78450074,72,2,female
31895,548763086,175,24,male
31956,202811009,179,24,male
31961,250205759,120,69,female
32025,2802932671,818,15,female
32125,2440963608,104,40,male
32146,8.6784045315206E+017,238,8,female
32171,9.68241697552466E+017,44,1,male
32191,211696123,1,1,female
32221,411697429,89,4,female
32258,7.97132408109662E+017,314,16,male
32319,1726993592,151,119,male
32347,216442988,564,299,female
32421,1452488504,32,2,female
32517,3722806343,190,17,female
32554,9.10889946218611E+017,1029,348,female
32566,50056441,59,7,female
32571,1116028856,129,89,female
32595,1056727549,253,13,female
32658,44987725,21,1,male
32741,3700853236,76,12,male
32742,3549268101,549,37,male
32746,101780360,384,104,female
32787,7.66444356928737E+017,51,2,female
32886,2804662920,51,14,female
32908,130265173,77,1,male
32922,7.38103124770968E+017,1362,29,female
32938,8.18941177860755E+017,143,40,male
32965,3078483739,89,48,female
32967,2671017091,609,69,female
32973,18299656,223,42,male
32996,8.93590711588803E+017,87,20,female
33005,431161247,1047,39,female
33043,2559998806,162,50,male
33215,1158671108,6,1,male
33315,2705679621,47,1,female
33316,202759893,730,30,female
33389,435916774,78,73,female
33394,278477708,961,123,female
33524,3592069337,20,6,male
33550,425972740,121,30,male
33745,807968504,3029,108,female
33746,319426633,41,3,female
33762,360684254,174,14,male
33797,4252456823,866,49,female
33815,9.57456543280259E+017,64,14,female
33948,7.72678328301949E+017,34,20,female
33988,7.04918707777237E+017,385,131,female
34004,392496878,128,22,female
34087,9.42641019358777E+017,17,14,male
34133,2528488918,185,46,female
34139,14842431,374,44,female
34160,137220013,2585,278,male
34184,8.27611632754893E+017,10,6,male
34234,14552124,821,88,male
34254,4573549641,780,79,female
34328,336112650,89,29,male
34331,2786293195,54,7,male
34366,7.69657324113957E+017,96,1,male
34374,486295733,892,317,male
